Spring 2021,MATH,6371,Numerical Analysis,Quaini,Annalisa,8,3,0,0,0,4,1,53
Spring 2021,BUSI,4350,Business Law and Ethics,Currie,Daniel David,121,86,7,0,0,57,0,45
Spring 2021,HRMA,3364,Hotel Sales,Kenyan,Erin Oeser,23,22,0,0,0,11,2,41
Spring 2021,SCM,4351,Stratgic Sourcing & Spend Anal,Wayhan,Victor Brian,62,11,0,0,0,3,2,82
Spring 2021,HRMA,6380,Business Analytics,Lee,Minwoo,9,0,0,0,0,0,0,100
Spring 2021,ENGL,2361,Western World Lit II--Honors,Lyke,Larry,52,25,1,0,0,6,2,62
Spring 2021,THEA,7304,Graduate Acting IV,Young,John M,8,0,0,0,0,0,0,100
Spring 2021,ECE,8198,Doctoral Research,Pan,Miao,0,0,0,0,0,1,0,0
Spring 2021,SOCW,7361,Clinical SW Practice w Elders,Miyawaki,Christina E,13,5,0,0,0,4,0,59
Spring 2021,IDNS,3132,Organic Chem II SEP Workshop,Pattison,Donna,15,6,0,0,0,13,1,44
Spring 2021,SOCW,7318,Cognitive Behavioral Interven,Amtsberg,Donna K.,25,1,0,0,0,1,0,93
Spring 2021,ELCS,6393,Practicum,Davis,Lisa Marie,11,0,0,0,0,0,0,100
Spring 2021,CNST,2341,Construction Documents,Vecera,Robert Gerard,18,45,9,0,0,30,6,18
Spring 2021,ART,1371,Fundamentals of Photo/DM,Amadou,Haoua Zouga,6,8,2,0,0,3,2,32
Spring 2021,SOCW,7334,Dynamics of Leadership in SW,Brown,Aabha,7,2,0,0,0,1,0,70
Spring 2021,BIOL,6240,Molecular Genetics 1,Dauwalder,Brigitte,11,0,0,0,0,0,0,100
Spring 2021,MECE,4343,Thermal Design,Chen,Xuemei,3,2,0,0,0,7,0,25
Spring 2021,BIOL,1162,Intro To Biol Science Lab 2,Medrano,Ana I,22,2,0,0,0,0,0,92
Spring 2021,BIOL,1162,Intro To Biol Science Lab 2,Medrano,Ana I,5,9,0,0,0,5,2,26
Spring 2021,ACCT,8397,Selected Topics in Accounting,Sun,Xue,2,0,0,0,0,0,0,100
Spring 2021,LAW,5386,Trial Advocacy,Morton,Chris,9,11,0,0,0,2,0,41
Spring 2021,POLS,3311,Intro Compar Politics,Cantu,Francisco,9,7,1,0,0,17,0,26
Spring 2021,ENGL,1304,First Year Writing II,Hunt,Daniel J,10,4,0,0,0,3,2,59
Spring 2021,DIGM,4399,Senior Thesis,Snyder,Philip Charles,13,4,0,0,0,2,0,68
Spring 2021,ACCT,5371,Accounting Information Systems,Miles,Carolyn A,4,9,0,0,0,3,3,25
Spring 2021,HRD,6302,Design & Management E-Learning,Nair,Maya,21,3,0,0,0,0,0,88
Spring 2021,ASLI,1302,Elementary Amer Sign Lang II,Pott,Scot A,2,8,1,0,0,8,0,11
Spring 2021,MATH,6397,Selected Topics in Math,Ru,Min,4,1,0,0,0,0,0,80
Spring 2021,PHYS,1102,General Physics Laboratory II,Wood,Lowell T,3,13,0,0,0,6,1,14
Spring 2021,PHYS,1301,Intro General Physics I,Li,Chunhua,5,25,10,0,0,36,9,7
Spring 2021,PHLS,6352,Assessmnt in Educ Psych,Lee,Jungeun,18,1,0,0,0,0,0,95
Spring 2021,HIST,4369,Modern Mexico 1810 To Present,Hernandez,Jose A.,20,1,1,0,0,0,0,91
Spring 2021,HDCS,1300,Human Ecosystems & Tech Change,Gatterson,Beverly,33,16,0,0,0,7,1,59
Spring 2021,MARK,7367,Digital Marketing Lab,Koch,Steven F.,9,0,0,0,0,0,0,100
Spring 2021,COMM,4378,Social Impact of Info Tech,Ashley,Laura B,25,1,0,0,0,0,0,96
Spring 2021,HRMA,6345,Wine Appreciation,Corsi,Aaron James,6,0,0,0,0,0,0,100
Spring 2021,NUTR,2133,Comm Food Prod I Lab,Svendsen-Sanchez,Ann Carol,7,7,0,0,0,2,1,44
Spring 2021,DAN,2214,Modern II Part II,Bobet,Jacqueline A,11,0,0,0,0,0,0,100
Spring 2021,GREK,2302,Intermediate Greek II,Kidder,Kathleen,4,0,0,0,0,2,0,67
Spring 2021,ELET,1401,Circuit Theory and Lab II,Moges,Mequanint A,3,8,0,0,0,3,1,21
Spring 2021,INDE,7397,Selected Topics,Lee,Tae Woo,6,0,0,0,0,0,0,100
Spring 2021,COMM,3311,Editing Print & Digital Media,Crixell,Charles A,8,6,2,0,0,1,0,47
Spring 2021,COSC,4349,Inter. Game Art & Animation,Donatelli,Vincent M,22,2,1,0,0,0,0,88
Spring 2021,PHLS,8199,Dissertation,Arbona,Consuelo,0,0,0,0,0,2,0,0
Spring 2021,MUSA,1300,Applied Voice,Averyt,Zachary Benjamin,1,0,0,0,0,0,0,100
Spring 2021,BIOE,8198,Doctoral Research,Pollonini,Luca,0,0,0,0,0,1,0,0
Spring 2021,PCOL,6198,Special Problems,Zhang,Ruiwen,0,0,0,0,0,1,0,0
Spring 2021,MECE,8399,Doctoral Dissertation,Yang,Di,0,0,0,0,0,1,0,0
Spring 2021,MUSA,6300,Applied Voice,Evans,Joseph,1,0,0,0,0,0,0,100
Spring 2021,ECE,6397,Selected Topics,Brankovic,Stanko R,3,2,0,0,0,0,0,60
Spring 2021,COSC,8398,Doctoral Research,Cheng,Albert M K,0,0,0,0,0,1,0,0
Spring 2021,PSYC,6359,Directed Rsch in Clinical Psyc,Bick,Johanna R,0,0,0,0,0,1,0,0
Spring 2021,ENGL,8399,Doctoral Dissertation,Backus,Margot Gayle,0,0,0,0,0,1,0,0
Spring 2021,GERM,3334,Ger Conversatn&Composit,Kleinheider,Julia D,2,1,0,0,0,1,1,50
Spring 2021,ECE,8399,Doctoral Dissertation,Wolfe,John C,1,0,0,0,0,1,0,50
Spring 2021,LAW,5112,Advocates-Hipp Mock Trial,Lawrence,Jim E,0,0,0,0,0,3,0,0
Spring 2021,GEOL,8999,Doctoral Dissertation,Zhou,Hua-Wei,0,0,0,0,0,2,0,0
Spring 2021,MUSA,4422,Applied Viola,LeFevre,Suzanne,1,0,0,0,0,0,0,100
Spring 2021,CUIN,8699,Doctoral Dissertation,Hutchison,Laveria F,2,0,0,0,0,0,0,100
Spring 2021,POLS,8999,Doctoral Dissertation,Chatagnier,John Tyson,0,0,0,0,0,3,0,0
Spring 2021,MUSI,4112,Chamber Music - Woodwind,Bertman,David Garry,3,0,0,0,0,0,0,100
Spring 2021,PHOP,6667,Research Practicum A,Stevenson,Scott Bailli,1,0,0,0,0,0,0,100
Spring 2021,LAW,5414,Immigration Clinic II,Hoffman,Geoffrey A,1,1,0,0,0,0,0,50
