Fall 2020,POLC,6391,Public Policy Internship,Wong,Man Chiu,3,0,0,0,0,0,1,100
Fall 2020,CNST,3185,Construction Experience,Stayshich,David A,17,27,0,0,0,12,0,30
Fall 2020,GEOL,1130,Physical Geology Lab,Sisson,Virginia B,9,3,0,0,0,0,0,75
Fall 2020,SCM,4385,Supply Chain Analytics,Murray,Michael J,23,9,3,0,0,7,3,55
Fall 2020,PEP,8699,Doctoral Dissertation,Lee,Beom Chan,1,0,0,0,0,0,0,100
Fall 2020,COMM,3360,Strategic Comm. Principles,Huang,Yan,17,10,1,0,0,4,0,53
Fall 2020,COMM,1301,Media and Society,Olson,Beth M,44,104,18,0,1,48,8,20
Fall 2020,GEOL,1130,Physical Geology Lab,Hauptvogel,Daniel William,4,1,2,0,0,5,3,33
Fall 2020,SCM,   6A01,SCM Concepts,Sahin,Funda,9,8,2,0,0,0,0,47
Fall 2020,ENGL,2318,Creation and Perform of Lit,Belieu,Erin Colleen,24,11,2,0,0,5,2,57
Fall 2020,CHEE,8398,Doctoral Research,Karim,Alamgir,0,0,0,0,0,6,0,0
Fall 2020,EDUC,4315,Student Teaching Sec,Evans,Paige K,20,1,0,0,0,0,0,95
Fall 2020,INDE,6337,Human Factors Syst Dsgn,Schulze,Lawrence John Henry,2,3,0,0,0,0,0,40
Fall 2020,MARK,7362,Mgmt of Marketing Information,Hui,Kachuen Sam,26,1,0,0,0,0,0,96
Fall 2020,HON,2301,Human Situation: Antiquity,Rayneard,Max James Anthony,11,6,0,0,0,1,0,61
Fall 2020,ARTH,3334,History of Graphic Design,Orto,Luisa,31,5,0,0,0,4,0,78
Fall 2020,ART,1330,Fundamentals of Graphic Design,Williams,Celeste,14,6,0,0,0,0,2,70
Fall 2020,GENB,5304,Business Ethics for Accountant,Spartalis,Emmanuel Michael,1,1,0,0,0,0,0,50
Fall 2020,BIOE,3140,Quantitative Physiology Lab,Roh,Jinsook,6,2,0,0,0,0,0,75
Fall 2020,ART,3300,Intermediate Drawing,Willis,William H,19,0,0,0,0,1,0,95
Fall 2020,ENGL,1304,First Year Writing II,Presswood,Phillip Hilliard,13,2,0,0,0,1,1,81
Fall 2020,CUIN,8393,Adv Internship & Prac,Wong,Sissy S,1,0,0,0,0,0,0,100
Fall 2020,HIST,6398,Special Problems,Yuksel,Emire Cihan,0,0,0,0,0,0,0,
Fall 2020,PEP,7398,Adv Special Problem Human Perf,Arellano,Christopher,0,0,0,0,0,1,0,0
Fall 2020,HRMA,3341,Hospitality Managerial Acct,Ramirez,Arlene D,1,0,1,0,0,3,0,20
Fall 2020,THEA,1111,Production,Kearns,Casey,8,0,0,0,0,0,1,100
Fall 2020,LAW,5314,Lawyering Skills & Strategy I,Ten Cate,Irene,5,12,0,0,0,0,0,29
Fall 2020,CIVE,6399,Master's Thesis,Glennie,Craig Len,1,0,0,0,0,0,0,100
