Spring 2021,ENGL,1304,First Year Writing II,Estillore,Abigail C.,8,1,0,0,1,3,1,62
Spring 2021,ENGL,1304,First Year Writing II,Moore,Kelly L,10,2,1,0,0,3,0,63
Spring 2021,GEOL,1130,Physical Geology Lab,Sisson,Virginia B,18,2,0,0,0,0,0,90
Spring 2021,PSYC,7342,Bio Bases of Behav,Leasure,Jennifer Leigh,11,0,0,0,0,0,0,100
Spring 2021,MUSI,6200,Accompanying Seminar,Suits,Brian J,2,0,0,0,0,0,0,100
Spring 2021,SCLT,3340,Geography for GSC,Blount,James,26,9,1,0,0,3,0,67
Spring 2021,MECE,2334,Thermodynamics,Love,Holley Carole,11,66,3,0,0,49,2,9
Spring 2021,MATH,4323,Data Science and Stats Learn,Wang,Wenshuang,43,15,3,0,0,8,0,62
Spring 2021,THEA,4380,Voice for the Actor IV,Johnson,James B,5,3,0,0,0,2,0,50
Spring 2021,MECE,8598,Doctoral Research,Yu,Cunjiang,0,0,0,0,0,4,0,0
Spring 2021,MANA,   6A25,Ethical Leadrshp & Crit Reason,Carlin,Barbara A,16,14,0,0,0,3,0,48
Spring 2021,BCHS,3201,Biochemistry I Laboratory,Pattison,Donna,15,3,0,0,0,0,0,83
Spring 2021,ARCH,3342,Shape of the City,Turner,Drexel,11,0,0,0,0,0,0,100
Spring 2021,HIST,1378,The U S Since 1877,Quevillon,Timothy R,40,11,3,0,0,21,7,53
Spring 2021,MUED,2342,Music for Children,Langley,Anna C,9,6,0,0,0,3,0,50
Spring 2021,PSYC,7397,Selected Topics in Psychology,Fletcher,Jack M,0,0,0,0,0,6,0,0
Spring 2021,ENGL,2305,Intro To Fiction,Backus,Margot Gayle,4,4,0,0,0,0,1,50
Spring 2021,JPNS,2302,Intermediate Japanese II,Suzuki,Mamiko,22,4,1,0,0,3,1,73
Spring 2021,TEPM,6303,Risk Assessment in Project Mgm,Carden,Lila L,4,1,0,0,0,0,0,80
Spring 2021,GEOL,6344,Isotope Geochemistry,Fu,Qi,5,2,0,0,0,0,0,71
Spring 2021,THEA,7314,Graduate Movement IV,Noble,Adam S,6,1,0,0,0,0,0,86
Spring 2021,HDCS,4380,Merchandising,Jacobs,Karen S,7,3,0,0,0,3,0,54
Spring 2021,LAW,6318,Houston Business/Tax Journal,Wells,Douglas,0,0,0,0,0,10,0,0
Spring 2021,ACCT,5379,Enterprise Risk Management,Bennett,Michael Lee,1,0,0,0,0,0,0,100
Spring 2021,ECON,3332,Intermediate Microeconomics,Craig,Steven G,13,6,1,0,0,15,3,37
Spring 2021,NURS,6333,Population Health,McWilliams,Lenora A,8,2,0,0,0,0,0,80
Spring 2021,ART,6310,Printmaking Studio,Masterson,Patrick D,1,0,0,0,0,0,0,100
Spring 2021,CIVE,8498,Doctoral Research,Li,Hongyi,0,0,0,0,0,1,0,0
Spring 2021,ANTH,3399,Senior Honors Thesis,Storey,Rebecca,0,0,0,0,0,2,0,0
Spring 2021,DAN,2204,Ballet II Part II,Ozsoy,Firat Kazbek,2,0,0,0,0,0,0,100
Spring 2021,COMM,2328,Broadcast Writing Basics,Griffin,Veronica R,11,2,2,0,0,3,0,61
Spring 2021,DIGM,4397,Selected Tops in Digital Media,Alters,Monika Joanna,8,4,0,0,0,2,0,57
Spring 2021,PHLS,8393,Doctoral Practicum in Psy,Gonzalez,Jorge E,0,0,0,0,0,4,0,0
Spring 2021,HON,4398,Independent Study,LeVeaux,Christine,1,0,0,0,0,0,0,100
Spring 2021,SCLT,6314,Measurement and Evaluation,Bian,Zheyong,8,0,0,0,0,1,0,89
Spring 2021,GEOL,7398,Masters Research,Mann,Paul,0,0,0,0,0,1,0,0
Spring 2021,MUSI,4198,Reed Making,Wagner,Elise L,2,0,0,0,0,0,0,100
Spring 2021,BIOE,8399,Doctoral Dissertation,Akay PhD,Metin,0,0,0,0,0,2,0,0
Spring 2021,DAN,3306,Dance Composition III,Stokes,Karen E,3,0,0,0,0,0,0,100
Spring 2021,PCOL,6198,Special Problems,Zhang,Yang,0,0,0,0,0,2,0,0
Spring 2021,FINA,8999,Doctoral Dissertation,George,Thomas J,0,0,0,0,0,1,0,0
Spring 2021,GEOL,8398,Doctoral Research,Zheng,Yingcai,0,0,0,0,0,1,0,0
Spring 2021,ENGL,8399,Doctoral Dissertation,Turchi,Peter D,1,0,0,0,0,0,0,100
Spring 2021,PHAR,5672,Clinical Pharmaceutical Resch,Tolleson,Shane Russell,1,0,0,0,0,0,0,100
Spring 2021,ENGL,8399,Doctoral Dissertation,Divakaruni,Chitra B,2,0,0,0,0,0,0,100
Spring 2021,MUSI,6328,Collab Skills for Organists II,Robinson,Daryl Allen,3,0,0,0,0,0,0,100
Spring 2021,CHEM,6322,Statistcl Thermodynamcs,Lubchenko,Vassiliy,5,0,0,0,0,0,0,100
Spring 2021,ENGL,8699,Doctoral Dissertation,Shepley,Nathan,0,0,0,0,0,2,0,0
Spring 2021,WCL,6356,World Film and Film Theory,Carrera,Alessandro,3,0,0,0,0,0,0,100
Spring 2021,HON,3360,Global Engagement,Myrick,Keri D,4,0,1,0,0,0,0,80
Spring 2021,MUSA,4400,Applied Voice,Clayton Vasquez,Cynthia L,1,0,0,0,0,0,0,100
Spring 2021,ARCH,5593,Thesis Project,Rogers,Susan,1,0,0,0,0,0,0,100
Spring 2021,ECON,7390,Research & Readings - Economic,Kohlhase,Janet E,0,1,0,0,0,0,0,0
Spring 2021,PCOL,8998,Doctoral Research,McConnell,Bradley K,0,0,0,0,0,1,0,0
Spring 2021,MSCI,3320,Applied Leadership,Ta,Hung,0,1,0,0,0,0,0,0
Spring 2021,CIVE,8198,Doctoral Research,Louie,Stacey M,0,0,0,0,0,1,0,0
Spring 2021,ECE,8398,Doctoral Research,Reddy,Rohith Krishna,0,0,0,0,0,2,0,0
Spring 2021,PCOL,6498,Special Problems,Das,Joydip,1,0,0,0,0,0,0,100
Spring 2021,PEP,8699,Doctoral Dissertation,Lee,Dong Hun,1,0,0,0,0,0,0,100
Spring 2021,PCEU,8399,Doctoral Dissertation,Tam,Vincent H,1,0,0,0,0,0,0,100
Spring 2021,MECE,8298,Doctoral Research,Ghasemi,Hadi,0,0,0,0,0,1,0,0
Spring 2021,ENGL,8399,Doctoral Dissertation,Hogue,W Lawrence,1,0,0,0,0,0,0,100
